truck_state,load,decision,decision_score,outcome,future_state,regret,timestamp
"{'fuel_percent': 44, 'time_left_hours': 2.4, 'capacity_left_tons': 10}","{'load_weight_tons': 2, 'additional_time_hours': 0.6, 'profit_inr': 729}",ACCEPT,-13.17,"{'actual_profit_inr': 466, 'delay_hours': 0.02, 'fuel_used_percent': 10}","{'time_left_hours': 1.7999999999999998, 'capacity_left_tons': 8}",0,2026-02-01T02:45:42.000091
"{'fuel_percent': 40, 'time_left_hours': 5.4, 'capacity_left_tons': 5}","{'load_weight_tons': 2, 'additional_time_hours': 1.6, 'profit_inr': 2950}",REJECT,18.95,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.8000000000000003, 'capacity_left_tons': 3}",0,2026-02-01T02:45:42.000091
"{'fuel_percent': 45, 'time_left_hours': 3.2, 'capacity_left_tons': 8}","{'load_weight_tons': 2, 'additional_time_hours': 1.4, 'profit_inr': 1157}",ACCEPT,-5.13,"{'actual_profit_inr': 986, 'delay_hours': 1.23, 'fuel_used_percent': 7}","{'time_left_hours': 1.8000000000000003, 'capacity_left_tons': 6}",0,2026-02-01T02:45:42.000091
"{'fuel_percent': 27, 'time_left_hours': 5.4, 'capacity_left_tons': 5}","{'load_weight_tons': 4, 'additional_time_hours': 1.5, 'profit_inr': 2456}",REJECT,-16.89,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.9000000000000004, 'capacity_left_tons': 1}",0,2026-02-01T02:45:42.000091
"{'fuel_percent': 26, 'time_left_hours': 2.3, 'capacity_left_tons': 3}","{'load_weight_tons': 3, 'additional_time_hours': 1.9, 'profit_inr': 2043}",REJECT,-15.09,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 0.3999999999999999, 'capacity_left_tons': 0}",0,2026-02-01T02:45:42.000091
"{'fuel_percent': 30, 'time_left_hours': 2.0, 'capacity_left_tons': 8}","{'load_weight_tons': 3, 'additional_time_hours': 1.0, 'profit_inr': 1164}",ACCEPT,-13.59,"{'actual_profit_inr': 1043, 'delay_hours': 1.2, 'fuel_used_percent': 10}","{'time_left_hours': 1.0, 'capacity_left_tons': 5}",0,2026-02-01T02:45:42.000091
"{'fuel_percent': 21, 'time_left_hours': 4.6, 'capacity_left_tons': 3}","{'load_weight_tons': 1, 'additional_time_hours': 1.1, 'profit_inr': 1985}",ACCEPT,16.4,"{'actual_profit_inr': 1864, 'delay_hours': 0.43, 'fuel_used_percent': 5}","{'time_left_hours': 3.4999999999999996, 'capacity_left_tons': 2}",0,2026-02-01T02:45:42.000091
"{'fuel_percent': 76, 'time_left_hours': 5.5, 'capacity_left_tons': 2}","{'load_weight_tons': 4, 'additional_time_hours': 1.3, 'profit_inr': 1323}",REJECT,-8.24,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.2, 'capacity_left_tons': -2}",0,2026-02-01T02:45:42.000091
"{'fuel_percent': 57, 'time_left_hours': 5.7, 'capacity_left_tons': 10}","{'load_weight_tons': 2, 'additional_time_hours': 1.9, 'profit_inr': 1507}",REJECT,20.53,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.8000000000000003, 'capacity_left_tons': 8}",0,2026-02-01T02:45:42.000091
"{'fuel_percent': 70, 'time_left_hours': 4.9, 'capacity_left_tons': 10}","{'load_weight_tons': 2, 'additional_time_hours': 0.8, 'profit_inr': 1601}",REJECT,22.95,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.1000000000000005, 'capacity_left_tons': 8}",0,2026-02-01T02:45:42.000091
"{'fuel_percent': 69, 'time_left_hours': 3.4, 'capacity_left_tons': 6}","{'load_weight_tons': 1, 'additional_time_hours': 1.7, 'profit_inr': 646}",REJECT,-16.8,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.7, 'capacity_left_tons': 5}",0,2026-02-01T02:45:42.000091
"{'fuel_percent': 37, 'time_left_hours': 4.0, 'capacity_left_tons': 6}","{'load_weight_tons': 2, 'additional_time_hours': 1.0, 'profit_inr': 1062}",REJECT,9.74,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.0, 'capacity_left_tons': 4}",0,2026-02-01T02:45:42.000091
"{'fuel_percent': 75, 'time_left_hours': 4.2, 'capacity_left_tons': 5}","{'load_weight_tons': 1, 'additional_time_hours': 1.5, 'profit_inr': 2765}",ACCEPT,3.44,"{'actual_profit_inr': 2715, 'delay_hours': 1.37, 'fuel_used_percent': 10}","{'time_left_hours': 2.7, 'capacity_left_tons': 4}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 73, 'time_left_hours': 5.6, 'capacity_left_tons': 10}","{'load_weight_tons': 1, 'additional_time_hours': 0.9, 'profit_inr': 2280}",REJECT,21.01,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.699999999999999, 'capacity_left_tons': 9}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 55, 'time_left_hours': 4.7, 'capacity_left_tons': 6}","{'load_weight_tons': 3, 'additional_time_hours': 0.6, 'profit_inr': 1308}",ACCEPT,18.41,"{'actual_profit_inr': 1029, 'delay_hours': 1.09, 'fuel_used_percent': 6}","{'time_left_hours': 4.1000000000000005, 'capacity_left_tons': 3}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 27, 'time_left_hours': 5.0, 'capacity_left_tons': 6}","{'load_weight_tons': 3, 'additional_time_hours': 1.0, 'profit_inr': 2125}",REJECT,7.43,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.0, 'capacity_left_tons': 3}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 20, 'time_left_hours': 3.5, 'capacity_left_tons': 10}","{'load_weight_tons': 2, 'additional_time_hours': 2.0, 'profit_inr': 1488}",REJECT,-5.81,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.5, 'capacity_left_tons': 8}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 67, 'time_left_hours': 4.6, 'capacity_left_tons': 9}","{'load_weight_tons': 1, 'additional_time_hours': 0.6, 'profit_inr': 725}",ACCEPT,-16.67,"{'actual_profit_inr': 665, 'delay_hours': 1.23, 'fuel_used_percent': 11}","{'time_left_hours': 3.9999999999999996, 'capacity_left_tons': 8}",1,2026-02-01T02:45:42.001087
"{'fuel_percent': 44, 'time_left_hours': 5.2, 'capacity_left_tons': 2}","{'load_weight_tons': 1, 'additional_time_hours': 1.6, 'profit_inr': 1013}",ACCEPT,24.07,"{'actual_profit_inr': 770, 'delay_hours': 0.46, 'fuel_used_percent': 9}","{'time_left_hours': 3.6, 'capacity_left_tons': 1}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 51, 'time_left_hours': 3.1, 'capacity_left_tons': 5}","{'load_weight_tons': 3, 'additional_time_hours': 1.8, 'profit_inr': 948}",ACCEPT,14.78,"{'actual_profit_inr': 944, 'delay_hours': 1.47, 'fuel_used_percent': 8}","{'time_left_hours': 1.3, 'capacity_left_tons': 2}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 51, 'time_left_hours': 2.4, 'capacity_left_tons': 9}","{'load_weight_tons': 4, 'additional_time_hours': 1.6, 'profit_inr': 1057}",ACCEPT,-7.7,"{'actual_profit_inr': 898, 'delay_hours': 1.22, 'fuel_used_percent': 12}","{'time_left_hours': 0.7999999999999998, 'capacity_left_tons': 5}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 35, 'time_left_hours': 4.1, 'capacity_left_tons': 9}","{'load_weight_tons': 2, 'additional_time_hours': 0.9, 'profit_inr': 1042}",ACCEPT,9.74,"{'actual_profit_inr': 770, 'delay_hours': 0.69, 'fuel_used_percent': 12}","{'time_left_hours': 3.1999999999999997, 'capacity_left_tons': 7}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 49, 'time_left_hours': 5.7, 'capacity_left_tons': 4}","{'load_weight_tons': 2, 'additional_time_hours': 0.7, 'profit_inr': 2158}",ACCEPT,12.56,"{'actual_profit_inr': 1931, 'delay_hours': 0.54, 'fuel_used_percent': 15}","{'time_left_hours': 5.0, 'capacity_left_tons': 2}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 54, 'time_left_hours': 3.8, 'capacity_left_tons': 8}","{'load_weight_tons': 2, 'additional_time_hours': 0.8, 'profit_inr': 2537}",ACCEPT,-6.13,"{'actual_profit_inr': 2471, 'delay_hours': 0.6, 'fuel_used_percent': 15}","{'time_left_hours': 3.0, 'capacity_left_tons': 6}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 26, 'time_left_hours': 5.9, 'capacity_left_tons': 7}","{'load_weight_tons': 4, 'additional_time_hours': 1.0, 'profit_inr': 1833}",REJECT,21.44,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.9, 'capacity_left_tons': 3}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 57, 'time_left_hours': 4.7, 'capacity_left_tons': 7}","{'load_weight_tons': 1, 'additional_time_hours': 0.8, 'profit_inr': 1788}",REJECT,13.49,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.9000000000000004, 'capacity_left_tons': 6}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 75, 'time_left_hours': 2.2, 'capacity_left_tons': 9}","{'load_weight_tons': 1, 'additional_time_hours': 1.2, 'profit_inr': 2997}",ACCEPT,-14.38,"{'actual_profit_inr': 2937, 'delay_hours': 0.44, 'fuel_used_percent': 5}","{'time_left_hours': 1.0000000000000002, 'capacity_left_tons': 8}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 77, 'time_left_hours': 5.5, 'capacity_left_tons': 8}","{'load_weight_tons': 4, 'additional_time_hours': 0.9, 'profit_inr': 1599}",REJECT,6.71,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.6, 'capacity_left_tons': 4}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 49, 'time_left_hours': 5.0, 'capacity_left_tons': 8}","{'load_weight_tons': 2, 'additional_time_hours': 1.3, 'profit_inr': 1138}",ACCEPT,26.23,"{'actual_profit_inr': 932, 'delay_hours': 1.05, 'fuel_used_percent': 15}","{'time_left_hours': 3.7, 'capacity_left_tons': 6}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 48, 'time_left_hours': 3.7, 'capacity_left_tons': 7}","{'load_weight_tons': 3, 'additional_time_hours': 1.6, 'profit_inr': 692}",REJECT,2.16,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.1, 'capacity_left_tons': 4}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 40, 'time_left_hours': 5.5, 'capacity_left_tons': 5}","{'load_weight_tons': 1, 'additional_time_hours': 1.9, 'profit_inr': 2533}",ACCEPT,25.97,"{'actual_profit_inr': 2455, 'delay_hours': 0.93, 'fuel_used_percent': 11}","{'time_left_hours': 3.6, 'capacity_left_tons': 4}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 60, 'time_left_hours': 3.4, 'capacity_left_tons': 9}","{'load_weight_tons': 4, 'additional_time_hours': 1.8, 'profit_inr': 1986}",ACCEPT,0.45,"{'actual_profit_inr': 1927, 'delay_hours': 0.1, 'fuel_used_percent': 11}","{'time_left_hours': 1.5999999999999999, 'capacity_left_tons': 5}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 34, 'time_left_hours': 2.4, 'capacity_left_tons': 9}","{'load_weight_tons': 2, 'additional_time_hours': 1.6, 'profit_inr': 2836}",ACCEPT,1.67,"{'actual_profit_inr': 2610, 'delay_hours': 0.61, 'fuel_used_percent': 5}","{'time_left_hours': 0.7999999999999998, 'capacity_left_tons': 7}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 56, 'time_left_hours': 5.0, 'capacity_left_tons': 8}","{'load_weight_tons': 2, 'additional_time_hours': 1.9, 'profit_inr': 2515}",ACCEPT,-0.33,"{'actual_profit_inr': 2474, 'delay_hours': 0.8, 'fuel_used_percent': 6}","{'time_left_hours': 3.1, 'capacity_left_tons': 6}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 52, 'time_left_hours': 4.0, 'capacity_left_tons': 9}","{'load_weight_tons': 1, 'additional_time_hours': 1.6, 'profit_inr': 2859}",REJECT,-7.26,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.4, 'capacity_left_tons': 8}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 35, 'time_left_hours': 4.1, 'capacity_left_tons': 3}","{'load_weight_tons': 2, 'additional_time_hours': 1.4, 'profit_inr': 2998}",REJECT,-5.79,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.6999999999999997, 'capacity_left_tons': 1}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 40, 'time_left_hours': 3.7, 'capacity_left_tons': 3}","{'load_weight_tons': 3, 'additional_time_hours': 0.6, 'profit_inr': 1654}",ACCEPT,-4.55,"{'actual_profit_inr': 1542, 'delay_hours': 0.95, 'fuel_used_percent': 10}","{'time_left_hours': 3.1, 'capacity_left_tons': 0}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 45, 'time_left_hours': 2.6, 'capacity_left_tons': 3}","{'load_weight_tons': 4, 'additional_time_hours': 1.3, 'profit_inr': 614}",REJECT,-14.54,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.3, 'capacity_left_tons': -1}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 68, 'time_left_hours': 4.6, 'capacity_left_tons': 3}","{'load_weight_tons': 1, 'additional_time_hours': 2.0, 'profit_inr': 1288}",ACCEPT,-16.83,"{'actual_profit_inr': 1146, 'delay_hours': 0.24, 'fuel_used_percent': 14}","{'time_left_hours': 2.5999999999999996, 'capacity_left_tons': 2}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 75, 'time_left_hours': 4.7, 'capacity_left_tons': 3}","{'load_weight_tons': 1, 'additional_time_hours': 1.1, 'profit_inr': 1377}",REJECT,16.78,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.6, 'capacity_left_tons': 2}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 34, 'time_left_hours': 3.5, 'capacity_left_tons': 4}","{'load_weight_tons': 3, 'additional_time_hours': 0.9, 'profit_inr': 2938}",REJECT,19.19,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.6, 'capacity_left_tons': 1}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 61, 'time_left_hours': 5.8, 'capacity_left_tons': 5}","{'load_weight_tons': 4, 'additional_time_hours': 1.1, 'profit_inr': 946}",ACCEPT,-11.83,"{'actual_profit_inr': 657, 'delay_hours': 0.61, 'fuel_used_percent': 9}","{'time_left_hours': 4.699999999999999, 'capacity_left_tons': 1}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 20, 'time_left_hours': 3.1, 'capacity_left_tons': 7}","{'load_weight_tons': 2, 'additional_time_hours': 1.8, 'profit_inr': 615}",ACCEPT,29.45,"{'actual_profit_inr': 582, 'delay_hours': 1.16, 'fuel_used_percent': 15}","{'time_left_hours': 1.3, 'capacity_left_tons': 5}",1,2026-02-01T02:45:42.001087
"{'fuel_percent': 40, 'time_left_hours': 4.7, 'capacity_left_tons': 3}","{'load_weight_tons': 3, 'additional_time_hours': 1.1, 'profit_inr': 1569}",ACCEPT,2.66,"{'actual_profit_inr': 1451, 'delay_hours': 0.99, 'fuel_used_percent': 14}","{'time_left_hours': 3.6, 'capacity_left_tons': 0}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 56, 'time_left_hours': 2.6, 'capacity_left_tons': 4}","{'load_weight_tons': 2, 'additional_time_hours': 1.0, 'profit_inr': 2657}",REJECT,19.17,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.6, 'capacity_left_tons': 2}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 23, 'time_left_hours': 5.8, 'capacity_left_tons': 9}","{'load_weight_tons': 2, 'additional_time_hours': 1.0, 'profit_inr': 2098}",REJECT,16.7,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.8, 'capacity_left_tons': 7}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 39, 'time_left_hours': 3.0, 'capacity_left_tons': 3}","{'load_weight_tons': 3, 'additional_time_hours': 1.2, 'profit_inr': 2136}",ACCEPT,-9.56,"{'actual_profit_inr': 1991, 'delay_hours': 0.29, 'fuel_used_percent': 10}","{'time_left_hours': 1.8, 'capacity_left_tons': 0}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 78, 'time_left_hours': 2.7, 'capacity_left_tons': 9}","{'load_weight_tons': 3, 'additional_time_hours': 0.7, 'profit_inr': 1440}",REJECT,17.92,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.0, 'capacity_left_tons': 6}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 61, 'time_left_hours': 5.5, 'capacity_left_tons': 9}","{'load_weight_tons': 1, 'additional_time_hours': 2.0, 'profit_inr': 2321}",ACCEPT,0.75,"{'actual_profit_inr': 2183, 'delay_hours': 0.07, 'fuel_used_percent': 5}","{'time_left_hours': 3.5, 'capacity_left_tons': 8}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 70, 'time_left_hours': 5.1, 'capacity_left_tons': 5}","{'load_weight_tons': 4, 'additional_time_hours': 1.1, 'profit_inr': 2293}",REJECT,24.24,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.9999999999999996, 'capacity_left_tons': 1}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 42, 'time_left_hours': 5.1, 'capacity_left_tons': 5}","{'load_weight_tons': 2, 'additional_time_hours': 0.8, 'profit_inr': 2955}",ACCEPT,-5.69,"{'actual_profit_inr': 2804, 'delay_hours': 0.63, 'fuel_used_percent': 7}","{'time_left_hours': 4.3, 'capacity_left_tons': 3}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 20, 'time_left_hours': 5.9, 'capacity_left_tons': 4}","{'load_weight_tons': 3, 'additional_time_hours': 0.8, 'profit_inr': 1276}",ACCEPT,-18.92,"{'actual_profit_inr': 1207, 'delay_hours': 0.47, 'fuel_used_percent': 15}","{'time_left_hours': 5.1000000000000005, 'capacity_left_tons': 1}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 54, 'time_left_hours': 5.0, 'capacity_left_tons': 9}","{'load_weight_tons': 2, 'additional_time_hours': 1.9, 'profit_inr': 1659}",REJECT,18.21,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.1, 'capacity_left_tons': 7}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 63, 'time_left_hours': 2.9, 'capacity_left_tons': 2}","{'load_weight_tons': 4, 'additional_time_hours': 1.0, 'profit_inr': 2440}",ACCEPT,3.65,"{'actual_profit_inr': 2342, 'delay_hours': 1.38, 'fuel_used_percent': 10}","{'time_left_hours': 1.9, 'capacity_left_tons': -2}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 29, 'time_left_hours': 3.5, 'capacity_left_tons': 8}","{'load_weight_tons': 2, 'additional_time_hours': 1.4, 'profit_inr': 2525}",REJECT,26.28,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.1, 'capacity_left_tons': 6}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 30, 'time_left_hours': 3.3, 'capacity_left_tons': 10}","{'load_weight_tons': 2, 'additional_time_hours': 1.5, 'profit_inr': 1863}",REJECT,-0.96,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.7999999999999998, 'capacity_left_tons': 8}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 50, 'time_left_hours': 5.4, 'capacity_left_tons': 7}","{'load_weight_tons': 2, 'additional_time_hours': 1.4, 'profit_inr': 1625}",ACCEPT,18.98,"{'actual_profit_inr': 1470, 'delay_hours': 0.41, 'fuel_used_percent': 8}","{'time_left_hours': 4.0, 'capacity_left_tons': 5}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 25, 'time_left_hours': 3.7, 'capacity_left_tons': 9}","{'load_weight_tons': 3, 'additional_time_hours': 0.7, 'profit_inr': 1950}",REJECT,28.47,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.0, 'capacity_left_tons': 6}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 80, 'time_left_hours': 5.5, 'capacity_left_tons': 6}","{'load_weight_tons': 4, 'additional_time_hours': 0.5, 'profit_inr': 2893}",REJECT,-2.6,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 5.0, 'capacity_left_tons': 2}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 23, 'time_left_hours': 3.9, 'capacity_left_tons': 8}","{'load_weight_tons': 2, 'additional_time_hours': 1.5, 'profit_inr': 812}",ACCEPT,2.23,"{'actual_profit_inr': 546, 'delay_hours': 0.16, 'fuel_used_percent': 6}","{'time_left_hours': 2.4, 'capacity_left_tons': 6}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 41, 'time_left_hours': 4.4, 'capacity_left_tons': 9}","{'load_weight_tons': 3, 'additional_time_hours': 1.1, 'profit_inr': 2292}",ACCEPT,-19.56,"{'actual_profit_inr': 2198, 'delay_hours': 1.1, 'fuel_used_percent': 6}","{'time_left_hours': 3.3000000000000003, 'capacity_left_tons': 6}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 21, 'time_left_hours': 3.6, 'capacity_left_tons': 10}","{'load_weight_tons': 3, 'additional_time_hours': 0.6, 'profit_inr': 2134}",ACCEPT,-14.98,"{'actual_profit_inr': 1966, 'delay_hours': 1.06, 'fuel_used_percent': 7}","{'time_left_hours': 3.0, 'capacity_left_tons': 7}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 46, 'time_left_hours': 2.5, 'capacity_left_tons': 9}","{'load_weight_tons': 1, 'additional_time_hours': 1.2, 'profit_inr': 1407}",REJECT,15.27,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.3, 'capacity_left_tons': 8}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 37, 'time_left_hours': 5.6, 'capacity_left_tons': 7}","{'load_weight_tons': 1, 'additional_time_hours': 2.0, 'profit_inr': 1016}",REJECT,21.04,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.5999999999999996, 'capacity_left_tons': 6}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 21, 'time_left_hours': 5.1, 'capacity_left_tons': 9}","{'load_weight_tons': 1, 'additional_time_hours': 1.7, 'profit_inr': 1131}",REJECT,-16.8,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.3999999999999995, 'capacity_left_tons': 8}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 23, 'time_left_hours': 4.1, 'capacity_left_tons': 6}","{'load_weight_tons': 4, 'additional_time_hours': 1.1, 'profit_inr': 2200}",REJECT,-16.89,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.9999999999999996, 'capacity_left_tons': 2}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 71, 'time_left_hours': 5.3, 'capacity_left_tons': 5}","{'load_weight_tons': 2, 'additional_time_hours': 0.6, 'profit_inr': 1922}",REJECT,-12.75,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.7, 'capacity_left_tons': 3}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 63, 'time_left_hours': 3.2, 'capacity_left_tons': 6}","{'load_weight_tons': 3, 'additional_time_hours': 1.9, 'profit_inr': 1838}",ACCEPT,16.73,"{'actual_profit_inr': 1822, 'delay_hours': 0.72, 'fuel_used_percent': 6}","{'time_left_hours': 1.3000000000000003, 'capacity_left_tons': 3}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 73, 'time_left_hours': 4.1, 'capacity_left_tons': 7}","{'load_weight_tons': 2, 'additional_time_hours': 1.8, 'profit_inr': 568}",REJECT,14.63,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.3, 'capacity_left_tons': 5}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 44, 'time_left_hours': 5.8, 'capacity_left_tons': 9}","{'load_weight_tons': 2, 'additional_time_hours': 1.8, 'profit_inr': 581}",REJECT,24.44,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.0, 'capacity_left_tons': 7}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 60, 'time_left_hours': 4.7, 'capacity_left_tons': 10}","{'load_weight_tons': 2, 'additional_time_hours': 1.4, 'profit_inr': 2370}",REJECT,28.48,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.3000000000000003, 'capacity_left_tons': 8}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 69, 'time_left_hours': 4.1, 'capacity_left_tons': 5}","{'load_weight_tons': 3, 'additional_time_hours': 1.9, 'profit_inr': 1018}",REJECT,24.78,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.1999999999999997, 'capacity_left_tons': 2}",0,2026-02-01T02:45:42.001087
"{'fuel_percent': 50, 'time_left_hours': 5.7, 'capacity_left_tons': 5}","{'load_weight_tons': 2, 'additional_time_hours': 1.7, 'profit_inr': 1167}",REJECT,26.13,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.0, 'capacity_left_tons': 3}",0,2026-02-01T02:45:42.002092
"{'fuel_percent': 23, 'time_left_hours': 3.9, 'capacity_left_tons': 2}","{'load_weight_tons': 3, 'additional_time_hours': 1.0, 'profit_inr': 2327}",ACCEPT,-8.05,"{'actual_profit_inr': 2056, 'delay_hours': 1.04, 'fuel_used_percent': 10}","{'time_left_hours': 2.9, 'capacity_left_tons': -1}",0,2026-02-01T02:45:42.002092
"{'fuel_percent': 23, 'time_left_hours': 5.8, 'capacity_left_tons': 9}","{'load_weight_tons': 4, 'additional_time_hours': 2.0, 'profit_inr': 854}",REJECT,21.03,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.8, 'capacity_left_tons': 5}",0,2026-02-01T02:45:42.002092
